,Unnamed: 0,ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,0x3088,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.52025705942
1,10410,0x61d3,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520257046745
2,38301,0x1c3d,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.520257046745
3,44997,0xc3f6,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257046745
4,16861,0x795a,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257046745
5,7720,0x9f6f,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.520257042732
6,22162,0x339a,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.520257042732
7,13431,0xbf7a,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520257042732
8,28737,0xda6a,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.52025703843
9,41391,0xbef9,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.52025703843
10,13705,0xa808,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.52025703843
11,41447,0x96b0,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.52025703843
12,27512,0xc9c0,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.520257037824
13,44248,0x9edb,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520257037824
14,7755,0x2e0c,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257037824
15,25267,0x7899,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
16,39689,0x46bc,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520257032207
17,15031,0xa016,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025703129
18,10307,0x367f,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.52025703129
19,39568,0x5244,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520257028576
20,42595,0x5b30,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257028576
21,21105,0x595f,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.52025702837
22,22739,0x187f,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.52025702837
23,37144,0x4955,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.520257028355
24,32367,0x36b1,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.520257028355
25,44899,0x3503,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.520257028125
26,2408,0xe047,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.520257028125
27,38238,0xc916,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520257028125
28,342,0x12e7,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
29,37322,0x2a82,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
30,21967,0x68d3,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.520257027798
31,13832,0xce3a,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.520257027798
32,38034,0x716,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520257027798
33,14916,0xc920,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.520257023803
34,7685,0xc4f1,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.520257023803
35,20194,0x556,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.520257023803
36,13458,0x79a0,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520257019383
37,40412,0x67df,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.520257019383
38,25461,0x471e,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520257017437
39,7665,0x2b1f,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.520257017437
40,36516,0x17a3,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.520257017437
41,33886,0x432a,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.520257017437
42,27558,0xdda5,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.520257017288
43,9595,0xb3ac,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.520257017288
44,37624,0x9fb7,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.520257017288
45,9722,0xa206,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.520257017288
46,33581,0x9583,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.52025699965
47,42416,0x5256,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.52025699965
48,22362,0x494d,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520256255022
49,32554,0xbbef,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025624634
50,43306,0x54c6,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.52025624634
51,9693,0x86f5,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025624097
52,8467,0x66be,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.52025624097
53,40278,0xd05e,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.52025624097
54,22825,0x5216,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520256238895
55,15460,0xdc34,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.520256238895
56,5860,0xc326,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256238895
57,22802,0x9886,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.520256236596
58,16266,0xba93,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.520256236596
59,30494,0x5d4c,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256236596
60,45124,0xddb4,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.520256217802
61,24387,0x3205,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.520256217802
62,10059,0x5488,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520256217802
63,8975,0xc4b8,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.520256211184
64,3106,0xcf35,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.520256211184
65,2676,0x3756,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.520256211184
66,38074,0xcab,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.520256208547
67,11444,0xd53e,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256208547
68,20024,0x6878,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.520256208547
69,31288,0xb4a6,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520256208547
70,39262,0x9ac7,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.520256200485
71,25072,0x1cb7,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.520256200485
72,45408,0x5a9a,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520256200485
73,15617,0x9b70,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.52025619676
74,10089,0xc2f6,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.52025619676
75,14712,0x89da,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.52025619676
76,25253,0x8586,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52025619676
77,24679,0xb188,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.52025619003
78,7724,0x7eb6,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.52025619003
79,1411,0x5f61,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.52025619003
80,14736,0x7a3e,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520256189728
81,4639,0x29a1,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
82,29786,0x7f10,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520256177275
83,29314,0xba67,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.520256177275
84,19384,0xef3,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.520251727365
85,15107,0x2317,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.520251719383
86,43332,0x5e08,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251676986
87,43139,0xda08,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520251676986
88,18326,0x4ad1,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.520251676986
89,4526,0x7438,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.5202516745
90,45247,0x62aa,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.5202516745
91,34931,0x67b8,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.5202516745
92,22896,0x7536,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.5202516745
93,32892,0xd612,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.5202516745
94,19357,0x76ba,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.520251672508
95,13438,0x8a5,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251672508
96,44907,0x274c,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.520251672508
97,14680,0x4560,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.520251672293
98,8165,0xdde6,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.520251672293
99,15390,0x3b8c,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.520251672293
100,19628,0x59db,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.520251672246
101,42694,0xe014,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251672246
102,25562,0x17e1,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.520251671245
103,11327,0xc68b,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.520251671245
104,14606,0x65f4,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.520251671245
105,24157,0x4327,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.520251671245
106,42378,0x6ee,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520251671245
107,7152,0x610c,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.520251671245
108,28209,0x9bfb,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251671107
109,28762,0x2b9d,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251671107
